Organization Name ,Region,Country
    International Relations and Political Science Universities,3,353
"        Ecoles des Hautes Etudes Internationales et Politiques HEI-HEP, Paris",3,353
"        Centre d'Études Diplomatiques et Stratégiques, (Graduate / doctoral school of HEI-HEP) Paris",3,353
    Catholic universities,3,353
        Catholic University of Paris,3,353
        Catholic University of Toulouse,3,353
        Catholic University of the West,3,353
        Catholic University of Lyon,3,353
        Catholic University of Lille,3,353
        Catholic University of the Vendée[1],3,353
        Catholic University of Rennes,3,353
    Center for Philosophical Studies,3,353
    Independent Cooperative Faculty,3,353
    Leonardo da Vinci University Center,3,353
    Free Faculties of Philosophy and Psychology,3,353
    Protestant universities,3,353
        Free Faculty of Reform Theology of Aix-en-Provence,3,353
        Free Faculty of Protestant Theology of Montpellier,3,353
        Free Faculty of Protestant Theology of Paris,3,353
Arts et Métiers ParisTech,3,353
Centrale Graduate School,3,353
    École centrale de Lille,3,353
    École centrale de Lyon,3,353
    École centrale de Marseille,3,353
    École centrale de Nantes,3,353
    École centrale Paris,3,353
Supaéro(ISAE) à Toulouse,3,353
Collège de France,3,353
Conservatoire National des Arts et Métiers,3,353
École nationale supérieure des arts et industries textiles,3,353
École Nationale des Chartes,3,353
École Normale Supérieure,3,353
    École Normale Supérieure de Paris,3,353
    École Normale Supérieure de Cachan,3,353
    École Normale Supérieure de Lyon,3,353
    École Normale Supérieure Lettres et Sciences Humaines,3,353
École des hautes études en sciences sociales,3,353
École pratique des hautes études,3,353
IFP School - École nationale supérieure du pétrole et des moteurs,3,353
Institut national des sciences appliquées,3,353
    Institut national des sciences appliquées de Lyon,3,353
    Institut National des Sciences Appliquées de Toulouse,3,353
    Institut National des Sciences Appliquées de Rennes,3,353
    Institut national des sciences appliquées,3,353
    Institut National des Sciences Appliquées de Rouen,3,353
Institut supérieur de mécanique de Paris,3,353
Institut national des langues et civilisations orientales,3,353
Institut de Physique du Globe de Paris,3,353
Institut d'Études Politiques de Paris,3,353
Institut Telecom,3,353
Universities of Technology,3,353
    Université de technologie de Belfort-Montbéliard,3,353
    University of Technology of Compiègne,3,353
    University of Technology of Troyes,3,353
Grenoble Institute of Technology,3,353
Paris Dauphine University,3,353
Institut National Polytechnique de Toulouse,3,353
