organization,region,country
Pham Ngoc Thach University of Medicine (??i h?c Y Khoa Ph?m Ng?c Th?ch),5,410
Quy Nhon University (??i h?c Quy Nh?n),5,410
Tay Bac University (??i h?c Tây B?c),5,410
"Tay Nguyen University (??i h?c Tây Nguyên), Buon Ma Thuot",5,410
Thai Binh University of Medicine (??i h?c Y d??c Thái Bình),5,410
"Ton Duc Thang University (??i h?c Tôn ??c Th?ng, Thành ph? H? Chí Minh)",5,410
University of Communications and Transportation (??i h?c Giao thông V?n t?i),5,410
University of Finance and Accountancy (??i h?c Tai chinh Ke Toan),5,410
University of Fisheries (??i h?c Th?y s?n),5,410
"Vietnam Forestry University (??i h?c Lâm nghi?p), Hanoi",5,410
Vietnam Maritime University (??i h?c Hàng h?i),5,410
Vietnam University of Commerce (??i h?c Th??ng m?i),5,410
Vietnamese-German University (??i h?c Vi?t-??c),5,410
Vinh University (??i h?c Vinh),5,410
Water Resources University (??i h?c Th?y l?i),5,410
Senior colleges (Tr??ng ??i h?c)[edit],5,410
Hanoi School of Public Health (Tr??ng ??i h?c Y t? Công c?ng),5,410
Hanoi University of Pharmacy (Tr??ng ??i h?c D??c Hà N?i),5,410
Ho Chi Minh City University of Pedagogy (Tr??ng ??i h?c S? ph?m Thành ph? H? Chí Minh),5,410
Ho Chi Minh City University of Transportation (Tr??ng ??i h?c Giao Thông V?n T?i Thành ph? H? Chí Minh),5,410
Trade Union University (Tr??ng ??i h?c Công ?oàn),5,410
Academy (H?c vi?n)[edit],5,410
Academy of Finance and Accounting (H?c vi?n Tài chính K? toán),5,410
Academy of Finance of Vietnam (H?c vi?n Tài chính Vi?t Nam),5,410
Banking Academy of Vietnam (H?c vi?n Ngân hàng Vi?t Nam),5,410
Diplomatic Academy of Vietnam (H?c vi?n Ngo?i giao Vi?t Nam),5,410
Ho Chi Minh National Academy of Politics and Public Administration (H?c vi?n Chính tr? - Hành chính Qu?c gia H? Chí Minh),5,410
Academy of Journalism and Communication (H?c vi?n Báo chí và Tuyên truy?n Vi?t Nam),5,410
National Academy of Public Administration (H?c vi?n Hành chính Vi?t Nam),5,410
Institut de la Francophonie pour l'Informatique,5,410
Institute for International Relations (H?c vi?n Quan h? Qu?c t?),5,410
National Institute of Education Management (H?c vi?n Qu?n lý Giáo d?c Vi?t Nam),5,410
Posts and Telecommunications Institute of Technology (H?c vi?n Công ngh? B?u chính Vi?n thông),5,410
Vietnam Academy of Science and Technology (Vi?n Hàn lâm Khoa h?c và Công ngh? Vi?t Nam),5,410
Vietnam Academy of Social Sciences (Vi?n Khoa h?c Xã h?i Vi?t Nam),5,410
Graduate Academy of Social Sciences (H?c vi?n Khoa h?c Xã h?i Vi?t Nam),5,410
Vietnam Aviation Academy (H?c vi?n Hàng không Vi?t Nam),5,410
Vietnam University of Traditional Medicine,5,410
Conservatories (Nh?c vi?n)[edit],5,410
Hanoi Conservatory of Music (Nh?c vi?n Hà N?i),5,410
Ho Chi Minh City Conservatory (Nh?c vi?n thành ph? H? Chí Minh),5,410
Hue Conservatory (Nh?c vi?n Hu?),5,410
,5,410
Military academies[edit],5,410
See also: Vietnamese military academies,5,410
