Organization Name ,region,country
    University of Alabama System,14,407
        University of Alabama (Alabama) (Tuscaloosa- flagship/main campus),14,407
        University of Alabama at Birmingham (UAB),14,407
        University of Alabama in Huntsville (UAH),14,407
    Alabama Agricultural and Mechanical University (Alabama A&M),14,407
    Alabama State University (Alabama State),14,407
    Athens State University,14,407
    Auburn University system,14,407
        Auburn University (Auburn) (Auburn- flagship/main campus),14,407
        Auburn University at Montgomery,14,407
    Jacksonville State University,14,407
    University of Montevallo,14,407
    University of North Alabama (UNA),14,407
    University of South Alabama (USA),14,407
    Troy University system,14,407
        Troy University (Troy) (Troy- flagship/main campus),14,407
        Troy University at Dothan,14,407
        Troy University at Montgomery,14,407
    University of West Alabama (UWA),14,407
Alaska,14,407
    University of Alaska System,14,407
        University of Alaska Fairbanks (UAF) (Fairbanks-flagship/main campus),14,407
        University of Alaska Anchorage (UAA),14,407
        University of Alaska Southeast (UAS),14,407
Arizona,14,407
    Arizona State University (ASU),14,407
    Northern Arizona University (NAU),14,407
    University of Arizona (UA),14,407
Arkansas,14,407
    University of Arkansas System,14,407
        University of Arkansas (Arkansas) (Fayetteville- flagship/main campus),14,407
        University of Arkansas – Fort Smith,14,407
        University of Arkansas at Little Rock,14,407
        University of Arkansas for Medical Sciences,14,407
        University of Arkansas at Monticello,14,407
        University of Arkansas at Pine Bluff,14,407
    Arkansas State University,14,407
    Arkansas Tech University,14,407
    University of Central Arkansas (UCA),14,407
    Henderson State University,14,407
    Southern Arkansas University (SAU),14,407
California,14,407
    University of California system,14,407
"        University of California, Berkeley (UC Berkeley)",14,407
"        University of California, Davis (UC Davis)",14,407
"        University of California, Irvine (UC Irvine)",14,407
"        University of California, Los Angeles (UCLA)",14,407
"        University of California, Merced (UC Merced)",14,407
"        University of California, Riverside (UC Riverside)",14,407
"        University of California, San Diego (UC San Diego)",14,407
"        University of California, San Francisco (UCSF)",14,407
"        University of California, Santa Barbara (UC Santa Barbara)",14,407
"        University of California, Santa Cruz (UC Santa Cruz)",14,407
"        University of California, Hastings College of the Law",14,407
    California State University system,14,407
"        California State University, Bakersfield (CSUB)",14,407
"        California State University, Channel Islands (CSUCI or CI)",14,407
"        California State University, Chico (Chico State)",14,407
"        California State University, Dominguez Hills (CSUDH)",14,407
"        California State University, East Bay (CSUEB)",14,407
"        California State University, Fresno (Fresno State)",14,407
"        California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",14,407
        Humboldt State University (HSU),14,407
"        California State University, Long Beach (Long Beach State or Cal State Long Beach)",14,407
"        California State University, Los Angeles (CSULA)",14,407
"        California Maritime Academy (Cal Maritime, The Academy)",14,407
"        California State University, Monterey Bay (CSUMB)",14,407
"        California State University, Northridge (CSUN (pronounced C Sun, Cal State Northridge)",14,407
"        California State Polytechnic University, Pomona (Cal Poly Pomona)",14,407
"        California State University, Sacramento (Sacramento State)",14,407
"        California State University, San Bernardino (CSUSB)",14,407
"        San Diego State University (SDSU, San Diego State)",14,407
        San Francisco State University (SFSU),14,407
"        San Jose State University (SJSU, San Jose State)",14,407
"        California Polytechnic State University, San Luis Obispo (Cal Poly San Luis Obispo or Cal Poly SLO)",14,407
"        California State University, San Marcos (CSUSM)",14,407
        Sonoma State University (SSU),14,407
"        California State University, Stanislaus (Stan State)",14,407
Colorado,14,407
    Adams State University,14,407
    University of Colorado system,14,407
