Organization Name ,region,country
        University of Colorado Boulder (Colorado or CU) (Boulder-flagship/main campus),14,407
        University of Colorado Colorado Springs (CU-Colorado Springs),14,407
        University of Colorado Denver (CU-Denver),14,407
    Colorado Mesa University,14,407
    Colorado School of Mines,14,407
    Colorado State University system,14,407
        Colorado State University (Colorado State) (Fort Collins- flagship/main campus),14,407
        Colorado State University–Pueblo (CSU-Pueblo),14,407
        CSU–Global Campus (CSU–Global) – online only,14,407
    Fort Lewis College,14,407
    Metropolitan State University of Denver,14,407
    University of Northern Colorado,14,407
    Western State Colorado University (WSCU),14,407
Connecticut,14,407
    Connecticut State University System,14,407
        Central Connecticut State University (CCSU),14,407
        Eastern Connecticut State University (ECSU),14,407
        Southern Connecticut State University (SCSU),14,407
        Western Connecticut State University (WCSU),14,407
    University of Connecticut system,14,407
        University of Connecticut (UConn) (Storrs- flagship/main campus),14,407
        UConn Avery Point Campus in Groton,14,407
        UConn Graduate Business Campus in Hartford,14,407
        UConn Greater Hartford Campus in West Hartford ,14,407
        UConn Stamford Campus in Stamford,14,407
        UConn Torrington Campus in Torrington,14,407
        UConn Waterbury Campus in Waterbury,14,407
Delaware,14,407
    University of Delaware (UD),14,407
    Delaware State University,14,407
    University of the District of Columbia (UDC),14,407
Florida,14,407
,14,407
    State University System of Florida,14,407
        Florida A&M University (Florida A&M),14,407
        Florida Atlantic University (FAU),14,407
        Florida Gulf Coast University (FGCU),14,407
"        Florida International University (FIU) (Includes Intercontinental, Hult, Crown, and Richmond Universities abroad)",14,407
        Florida Polytechnic University (Florida Poly or FPU),14,407
        Florida State University (FSU),14,407
        New College of Florida,14,407
        University of Central Florida (UCF),14,407
        University of Florida (UF) (Gainesville - flagship/main campus),14,407
        University of North Florida (UNF),14,407
        University of South Florida (USF),14,407
        University of West Florida (UWF),14,407
Georgia,14,407
    University System of Georgia,14,407
        Abraham Baldwin Agricultural College,14,407
        Albany State University,14,407
        Armstrong State University,14,407
        Atlanta Metropolitan State College,14,407
        Augusta University,14,407
        Bainbridge State College,14,407
        Clayton State University,14,407
        College of Coastal Georgia,14,407
        Columbus State University,14,407
        Dalton State College,14,407
        East Georgia State College,14,407
        Fort Valley State University,14,407
        University of Georgia (UGA),14,407
        Georgia College and State University,14,407
        Georgia Gwinnett College,14,407
        Georgia Highlands College,14,407
        Georgia Institute of Technology (Georgia Tech),14,407
        Georgia Southern University,14,407
        Georgia Southwestern State University (GSW),14,407
        Georgia State University (GSU),14,407
        Gordon State College,14,407
        Kennesaw State University,14,407
        Middle Georgia State University,14,407
        University of North Georgia (UNG),14,407
        Savannah State University,14,407
        South Georgia State College (SGSC),14,407
        Valdosta State University (VSU),14,407
        University of West Georgia (UWG),14,407
Guam,14,407
    University of Guam,14,407
Hawaii,14,407
    University of Hawaii system,14,407
        University of Hawaii at Manoa (Hawaii or UH) (Manoa-flagship/main campus),14,407
        University of Hawaii at Hilo,14,407
        University of Hawaii at West Oahu,14,407
    Boise State University (Boise State or BSU),14,407
    University of Idaho (U of I or UI),14,407
    Idaho State University (Idaho State or ISU),14,407
    Lewis-Clark State College,14,407
Illinois,14,407
    Chicago State University (Chicago State),14,407
    Eastern Illinois University (EIU),14,407
    Governors State University,14,407
    Illinois State University (Illinois State),14,407
    University of Illinois system,14,407
        University of Illinois at Urbana–Champaign (Illinois) (Urbana and Champaign-flagship/main campus),14,407
        University of Illinois at Chicago (UIC),14,407
        University of Illinois at Springfield (UI-Springfield),14,407
    Northeastern Illinois University,14,407
    Northern Illinois University (NIU),14,407
    Southern Illinois University system,14,407
        Southern Illinois University Carbondale (SIU) (Carbondale-flagship/main campus),14,407
        Southern Illinois University Edwardsville (SIUE (pronounced SIU E)),14,407
    Western Illinois University (WIU),14,407
        Western Illinois University-Quad Cities (WIU-QC),14,407
    Ball State University,14,407
    Indiana University System,14,407
        Indiana University Bloomington (Indiana or IU) (Bloomington-flagship/main campus),14,407
        Indiana University East,14,407
        Indiana University Kokomo (IUK),14,407
        Indiana University Northwest,14,407
        Indiana University South Bend (IUSB),14,407
        Indiana University Southeast,14,407
        Indiana University – Purdue University Indianapolis (IUPUI) - (IU appoints chancellor; joint academics with Purdue.),14,407
            Indiana University – Purdue University Columbus (IUPUC),14,407
    Indiana State University (ISU),14,407
    Purdue University system,14,407
        Purdue University (West Lafayette- flagship/main campus),14,407
        Indiana University – Purdue University Fort Wayne (IPFW) - (Purdue appoints chancellor; joint academics with IU.),14,407
        Purdue University Calumet,14,407
        Purdue University North Central,14,407
    University of Southern Indiana (USI),14,407
Iowa,14,407
    University of Iowa (Iowa),14,407
    Iowa State University,14,407
    University of Northern Iowa (UNI),14,407
Kansas,14,407
    Emporia State University,14,407
    Fort Hays State University,14,407
    University of Kansas (Kansas or KU),14,407
    Kansas State University (K-State or KSU),14,407
    Pittsburg State University,14,407
    Wichita State University,14,407
,14,407
Note: Washburn University in Topeka is the only remaining municipally chartered university in the United States.,14,407
Kentucky,14,407
,14,407
    Eastern Kentucky University (EKU),14,407
    University of Kentucky (Kentucky or UK),14,407
    Kentucky State University,14,407
"    University of Louisville (Louisville, U of L, or UL)",14,407
    Morehead State University,14,407
    Murray State University,14,407
    Northern Kentucky University (NKU),14,407
    Western Kentucky University (WKU),14,407
,14,407
Louisiana,14,407
    Louisiana State University System,14,407
        Louisiana State University and A&M College (LSU) (Baton Rouge- flagship/main campus),14,407
        Louisiana State University at Alexandria (LSU-Alexandria),14,407
        Louisiana State University at Eunice (LSU-Eunice),14,407
        Louisiana State University in Shreveport (LSU-Shreveport),14,407
        Louisiana State University Health Sciences Center Shreveport,14,407
        Louisiana State University Health Sciences Center New Orleans,14,407
        Paul M. Hebert Law Center (law school on the main Baton Rouge campus),14,407
    University of Louisiana System,14,407
        Grambling State University (GSU),14,407
        Louisiana Tech University (Louisiana Tech or La Tech),14,407
        McNeese State University (MSU),14,407
        Nicholls State University,14,407
        Northwestern State University (NSULA),14,407
        Southeastern Louisiana University (SELU),14,407
        University of Louisiana at Lafayette (UL Lafayette),14,407
        University of Louisiana at Monroe (ULM),14,407
        University of New Orleans (UNO),14,407
    Southern University System,14,407
        Southern University (Baton Rouge- flagship/main campus),14,407
        Southern University at New Orleans (SUNO),14,407
        Southern University at Shreveport (SUSLA),14,407
Maine,14,407
    Maine Maritime Academy,14,407
    University of Maine System,14,407
        University of Maine (Maine) (Orono-flagship/main campus),14,407
        University of Maine Law School,14,407
"        University of Maine at Augusta (UMaine Augusta, UM-Augusta, or UMA)",14,407
"        University of Maine at Farmington (UMaine Farmington, UM-Farmington, or UMF)",14,407
"        University of Maine at Fort Kent (UMaine Fort Kent, UM-Fort Kent, or UMFK)",14,407
"        University of Maine at Machias (UMaine Machias, UM-Machias, or UMM (pronounced UM M))",14,407
"        University of Maine at Presque Isle (UMaine Presque Isle, UM-Presque Isle, or UMPI (pronounced UM PI))",14,407
        University of Southern Maine (Southern Maine or USM),14,407
Maryland,14,407
    Morgan State University,14,407
    St. Mary's College of Maryland,14,407
    University System of Maryland,14,407
"        University of Maryland, College Park (Maryland, UMCP, or UMD) (College Park-flagship/main campus)",14,407
            Virginia–Maryland College of Veterinary Medicine (VMRCVM) ,14,407
        Bowie State University,14,407
        Coppin State University,14,407
        Frostburg State University,14,407
        Salisbury University,14,407
        Towson University (Towson),14,407
        University of Baltimore (UB),14,407
"        University of Maryland, Baltimore (UM Baltimore or UMB)",14,407
"        University of Maryland, Baltimore County (UMBC)",14,407
        University of Maryland Eastern Shore (UMES),14,407
        University of Maryland University College (UMUC),14,407
        University of Maryland Center for Environmental Science,14,407
        University of Maryland Biotechnology Institute,14,407
Massachusetts,14,407
    University of Massachusetts system,14,407
        University of Massachusetts Amherst (UMass Amherst) (Amherst-flagship/main campus),14,407
        University of Massachusetts Boston (UMass Boston),14,407
        University of Massachusetts Dartmouth (UMass Dartmouth),14,407
        University of Massachusetts Lowell (UMass Lowell),14,407
        University of Massachusetts Medical School,14,407
    State University system,14,407
        Bridgewater State University,14,407
        Fitchburg State University,14,407
        Framingham State University,14,407
        Salem State University,14,407
        Westfield State University,14,407
        Worcester State University,14,407
        Massachusetts College of Art and Design,14,407
        Massachusetts College of Liberal Arts,14,407
        Massachusetts Maritime Academy,14,407
Michigan,14,407
    Central Michigan University (CMU),14,407
    Eastern Michigan University (EMU),14,407
    Ferris State University (Ferris State),14,407
    Grand Valley State University (Grand Valley State or GVSU),14,407
    Lake Superior State University,14,407
    University of Michigan system,14,407
        University of Michigan (Michigan) (Ann Arbor- flagship/main campus),14,407
        University of Michigan-Dearborn,14,407
        University of Michigan-Flint,14,407
    Michigan State University (Michigan State),14,407
    Michigan Technological University (Michigan Tech),14,407
    Northern Michigan University (NMU),14,407
    Oakland University,14,407
    Saginaw Valley State University,14,407
    Wayne State University,14,407
    Western Michigan University (WMU),14,407
Minnesota,14,407
    Minnesota State Colleges and Universities,14,407
        Bemidji State University,14,407
"        Minnesota State University, Mankato (flagship campus)",14,407
        Minnesota State University Moorhead,14,407
        Metropolitan State University,14,407
        Southwest Minnesota State University,14,407
        St. Cloud State University,14,407
        Winona State University,14,407
    University of Minnesota System,14,407
        University of Minnesota Twin Cities (Minnesota) (Minneapolis-flagship/main campus),14,407
        University of Minnesota Crookston,14,407
        University of Minnesota Duluth,14,407
        University of Minnesota Morris,14,407
        University of Minnesota Rochester,14,407
Mississippi,14,407
    Alcorn State University,14,407
    Delta State University (Delta State),14,407
    Jackson State University (Jackson State),14,407
    Mississippi State University (Mississippi State),14,407
    Mississippi University for Women (MUW),14,407
    Mississippi Valley State University,14,407
    University of Mississippi (Ole Miss),14,407
    University of Southern Mississippi (Southern Miss or USM),14,407
Missouri,14,407
    University of Central Missouri (UCM),14,407
    Harris-Stowe State University,14,407
    Lincoln University of Missouri,14,407
    University of Missouri System,14,407
        University of Missouri (Missouri or Mizzou) (Columbia- flagship/main campus),14,407
        University of Missouri–Kansas City (UMKC),14,407
        Missouri University of Science and Technology,14,407
        University of Missouri–St. Louis (UMSL),14,407
    Missouri Southern State University,14,407
    Missouri State University,14,407
    Missouri Western State University,14,407
    Northwest Missouri State University,14,407
    Southeast Missouri State University,14,407
    Truman State University,14,407
Montana,14,407
    Montana University System ,14,407
        Montana State University System,14,407
            Montana State University (Montana State) (Bozeman-flagship/main campus),14,407
            Montana State University Billings (Billings),14,407
            Montana State University–Northern (Havre),14,407
        University of Montana System,14,407
            University of Montana (Montana) (Missoula-flagship/main campus),14,407
            Montana Tech of The University of Montana (Butte),14,407
            University of Montana Western (Dillon),14,407
Nebraska,14,407
    Nebraska State College System,14,407
        Chadron State College,14,407
        Peru State College,14,407
        Wayne State College,14,407
    University of Nebraska system,14,407
        University of Nebraska-Lincoln (Nebraska) (Lincoln-flagship/main campus),14,407
        University of Nebraska at Kearney,14,407
        University of Nebraska at Omaha,14,407
        University of Nebraska Medical Center,14,407
Nevada,14,407
    Nevada System of Higher Education,14,407
"        University of Nevada, Reno (UNR) (Reno-flagship/main campus)",14,407
        College of Southern Nevada,14,407
        Great Basin College ,14,407
        Nevada State College,14,407
        Western Nevada College ,14,407
"        University of Nevada, Las Vegas (UNLV)",14,407
New Hampshire,14,407
    University System of New Hampshire,14,407
        Granite State College,14,407
        Keene State College,14,407
        Plymouth State University,14,407
        University of New Hampshire (UNH) (flagship/main campus),14,407
New Jersey,14,407
    The College of New Jersey,14,407
    Kean University,14,407
    Montclair State University,14,407
    New Jersey City University,14,407
    New Jersey Institute of Technology (NJIT),14,407
    Ramapo College of New Jersey,14,407
    Stockton University,14,407
    Rowan University,14,407
        Rowan University School of Osteopathic Medicine,14,407
        Cooper Medical School of Rowan University (established in partnership with Cooper Health System in 2009),14,407
"    Rutgers, The State University of New Jersey system",14,407
        Rutgers University (Rutgers) (New Brunswick and Piscataway-flagship/main campus),14,407
        Rutgers–Newark,14,407
        Rutgers–Camden,14,407
        Rutgers Schools of Biomedical and Health Sciences,14,407
    Thomas Edison State College,14,407
    William Paterson University of New Jersey,14,407
New Mexico,14,407
    University of New Mexico (New Mexico or UNM),14,407
    New Mexico Institute of Mining and Technology (New Mexico Tech),14,407
    New Mexico State University (NMSU),14,407
    New Mexico Highlands University,14,407
    Eastern New Mexico University (ENMU),14,407
    Western New Mexico University (WNMU),14,407
,14,407
New York,14,407
    State University of New York (SUNY) system,14,407
        University centers,14,407
"            University at Albany, State University of New York (University at Albany, UAlbany, or Albany)",14,407
            Binghamton University,14,407
            The State University of New York at Buffalo (University at Buffalo),14,407
            Stony Brook University (Stony Brook),14,407
        Other doctoral-granting institutions,14,407
            Health Science Center Brooklyn,14,407
            State University of New York Upstate Medical University,14,407
            State University of New York Polytechnic Institute (SUNY Poly),14,407
            New York State College of Ceramics (contract college at Alfred University),14,407
            College of Agriculture and Life Sciences (contract college at Cornell University),14,407
            College of Human Ecology (contract college at Cornell University),14,407
            College of Veterinary Medicine (contract college at Cornell University),14,407
            School of Industrial and Labor Relations (contract college at Cornell University),14,407
            State University of New York College of Environmental Science and Forestry,14,407
            State University of New York State College of Optometry,14,407
        Comprehensive colleges,14,407
            Buffalo State College,14,407
            Empire State College,14,407
            State University of New York at Brockport (SUNY Brockport),14,407
            State University of New York at Cortland (SUNY Cortland),14,407
            State University of New York at Fredonia (SUNY Fredonia),14,407
            State University of New York at Geneseo (SUNY Geneseo),14,407
            State University of New York at New Paltz (SUNY New Paltz),14,407
            State University of New York at Old Westbury (SUNY Old Westbury),14,407
            State University of New York at Oneonta (SUNY Oneonta),14,407
            State University of New York at Oswego (SUNY Oswego),14,407
            State University of New York at Plattsburgh (SUNY Plattsburgh),14,407
            State University of New York at Potsdam (SUNY Potsdam),14,407
            State University of New York at Purchase (SUNY Purchase),14,407
        Technology colleges,14,407
            Alfred State College,14,407
            Fashion Institute of Technology,14,407
            State University of New York at Canton (SUNY Canton),14,407
            State University of New York at Cobleskill (SUNY Cobleskill),14,407
            State University of New York at Delhi (SUNY Delhi),14,407
            State University of New York at Farmingdale (SUNY Farmingdale),14,407
            Morrisville State College,14,407
            State University of New York Maritime College (SUNY Maritime),14,407
    City University of New York (CUNY) system,14,407
        Colleges,14,407
            Baruch College,14,407
            Brooklyn College,14,407
            City College of New York,14,407
            College of Staten Island,14,407
            Hunter College,14,407
            John Jay College of Criminal Justice,14,407
            Lehman College,14,407
            Medgar Evers College,14,407
            New York City College of Technology,14,407
            Queens College,14,407
            Sophie Davis School of Biomedical Education,14,407
            York College,14,407
        Graduate and professional schools,14,407
            CUNY Graduate Center,14,407
            CUNY Graduate School of Journalism,14,407
            CUNY School of Law,14,407
            CUNY School of Professional Studies,14,407
            CUNY School of Public Health,14,407
            Sophie Davis School of Biomedical Education,14,407
            William E. Macaulay Honors College,14,407
Northern Mariana Islands,14,407
    Northern Marianas College,14,407
North Carolina,14,407
    University of North Carolina system,14,407
        Appalachian State University (Appalachian State or App State),14,407
        East Carolina University (ECU),14,407
        Elizabeth City State University,14,407
        Fayetteville State University,14,407
        North Carolina A&T State University (North Carolina A&T),14,407
        North Carolina Central University (North Carolina Central or NCCU),14,407
"        North Carolina State University (North Carolina State, NC State, NCSU)",14,407
        University of North Carolina at Asheville (UNC Asheville or UNCA),14,407
        University of North Carolina at Chapel Hill (UNC Chapel Hill or UNC),14,407
        University of North Carolina at Charlotte (UNC Charlotte or Charlotte),14,407
        University of North Carolina at Greensboro (UNC Greensboro or UNCG),14,407
        University of North Carolina at Pembroke (UNC Pembroke),14,407
        University of North Carolina at Wilmington (UNC Wilmington or UNCW),14,407
        University of North Carolina School of the Arts (UNC School of the Arts),14,407
        Western Carolina University (WCU),14,407
        Winston-Salem State University,14,407
North Dakota,14,407
    North Dakota University System ,14,407
        Dickinson State University,14,407
        Mayville State University,14,407
        Minot State University,14,407
        University of North Dakota (UND) (Grand Forks),14,407
        North Dakota State University (North Dakota State or NDSU),14,407
        Valley City State University,14,407
Ohio,14,407
    University System of Ohio,14,407
        University of Akron (Akron),14,407
        Bowling Green State University (BGSU),14,407
            BGSU Firelands (Huron),14,407
        Central State University,14,407
        University of Cincinnati system,14,407
"            University of Cincinnati (Cincinnati, Cincy, or UC) (Cincinnati-flagship/main campus)",14,407
"            University of Cincinnati, Clermont College (Batavia)",14,407
"            University of Cincinnati, Raymond Walters College (Blue Ash)",14,407
        Cleveland State University,14,407
        Kent State University system,14,407
        Miami University system,14,407
            Miami University (Oxford-flagship/main campus),14,407
            Miami University Hamilton,14,407
            Miami University Middletown,14,407
"            Miami University Dolibois European Center (Differdange, Luxembourg)",14,407
        The Ohio State University system,14,407
            Ohio State University (Ohio State or OSU) (Columbus-flagship/main campus),14,407
            Ohio State University Agricultural Technical Institute (Wooster),14,407
"            Ohio State University, Lima Campus",14,407
"            Ohio State University, Mansfield Campus",14,407
"            Ohio State University, Marion Campus",14,407
"            Ohio State University, Newark Campus",14,407
        Ohio University system,14,407
            Ohio University (Ohio) (Athens-flagship/main campus),14,407
            Ohio University Chillicothe,14,407
            Ohio University Eastern (St. Clairsville),14,407
            Ohio University Lancaster,14,407
            Ohio University Pickerington (part of Lancaster Campus),14,407
            Ohio University Proctorville (part of Southern Campus),14,407
            Ohio University Southern (Ironton),14,407
            Ohio University Zanesville,14,407
        Shawnee State University,14,407
        University of Toledo,14,407
        Wright State University,14,407
        Youngstown State University,14,407
Oklahoma,14,407
    Cameron University,14,407
    University of Central Oklahoma (Central Oklahoma or UCO),14,407
    East Central University,14,407
    Langston University,14,407
    Northeastern State University,14,407
    Northwestern Oklahoma State University,14,407
    University of Oklahoma system,14,407
        University of Oklahoma (Oklahoma) (Norman-flagship/main campus),14,407
        University of Oklahoma-Tulsa,14,407
        University of Oklahoma Health Sciences Center,14,407
    Oklahoma Panhandle State University,14,407
    Oklahoma State University System,14,407
        Oklahoma State University - Stillwater (Oklahoma State) (Stillwater-flagship/main campus),14,407
        Oklahoma State University - Center for Health Sciences,14,407
        Oklahoma State University - Okmulgee,14,407
        Oklahoma State University - Oklahoma City,14,407
        Oklahoma State University - Tulsa,14,407
    Rogers State University,14,407
    University of Science and Arts of Oklahoma,14,407
    Southeastern Oklahoma State University,14,407
    Southwestern Oklahoma State University,14,407
Oregon,14,407
    University of Oregon (Oregon or UO),14,407
    Oregon Health and Science University (Oregon Health or OHSU),14,407
    Oregon State University (Oregon State or OSU),14,407
    Portland State University (Portland State or PSU),14,407
    Eastern Oregon University (EOU),14,407
    Oregon Institute of Technology (Oregon Tech or OIT),14,407
    Southern Oregon University (SOU),14,407
    Western Oregon University (WOU),14,407
Pennsylvania,14,407
Pennsylvania State System of Higher Education (PaSSHE),14,407
    State-owned universities:,14,407
        Bloomsburg University of Pennsylvania,14,407
        California University of Pennsylvania,14,407
        Cheyney University of Pennsylvania,14,407
        Clarion University of Pennsylvania,14,407
"            Clarion University of Pennsylvania, Venango",14,407
        East Stroudsburg University of Pennsylvania,14,407
        Edinboro University of Pennsylvania,14,407
        Indiana University of Pennsylvania (IUP),14,407
"            Indiana University of Pennsylvania, Academy of Culinary Arts",14,407
"            Indiana University of Pennsylvania, Armstrong (IUP-Armstrong)",14,407
"            Indiana University of Pennsylvania, Northpointe (IUP-Northpointe)",14,407
"            Indiana University of Pennsylvania, Punxsutawney (IUP-Punxsutawney)",14,407
        Kutztown University of Pennsylvania,14,407
        Lock Haven University of Pennsylvania,14,407
"            Lock Haven University of Pennsylvania, Clearfield",14,407
        Mansfield University of Pennsylvania,14,407
        Millersville University of Pennsylvania,14,407
        Shippensburg University of Pennsylvania,14,407
        Slippery Rock University of Pennsylvania,14,407
        West Chester University of Pennsylvania,14,407
Commonwealth System of Higher Education,14,407
    State-related institutions:,14,407
        Lincoln University,14,407
        Pennsylvania State University,14,407
            Penn State Abington (PSU-Abingdon),14,407
            Penn State Altoona (PSU-Altoona),14,407
            Penn State Berks (PSU-Berks),14,407
            Penn State Beaver (PSU-Beaver),14,407
            Penn State Brandywine (PSU-Brandywine),14,407
            Penn State DuBois (PSU-DuBois),14,407
"            Penn State Fayette, The Eberly Campus (PSU-Fayette)",14,407
"            Penn State Erie, The Behrend College (PSU-Erie or Behrend)",14,407
            Penn State Greater Allegheny (PSU-Greater Allegheny),14,407
            Penn State Harrisburg (PSU-Harrisburg),14,407
            Penn State Hazleton (PSU-Hazleton),14,407
            Penn State Lehigh Valley (PSU-Lehigh Valley),14,407
            Penn State Mont Alto (PSU-Mont Alto),14,407
            Penn State New Kensington (PSU-New Kensington),14,407
            Penn State Schuylkill (PSU-Schuylkill),14,407
            Penn State Shenango (PSU-Shenango),14,407
            Penn State Wilkes-Barre (PSU-Wilkes-Barre),14,407
            Penn State Worthington Scranton (PSU-Worthington/Scranton),14,407
            Penn State York (PSU-York),14,407
        Pennsylvania State University's special mission colleges,14,407
            Penn State College of Medicine,14,407
            Penn State Dickinson School of Law,14,407
            Penn State Great Valley School of Graduate Professional Studies,14,407
            Penn State Online,14,407
        Temple University (Temple or TU),14,407
            Temple University Ambler (TU-Ambler),14,407
        University of Pittsburgh (Pittsburgh or Pitt),14,407
            University of Pittsburgh at Bradford (Pittsburgh-Bradford),14,407
            University of Pittsburgh at Greensburg (Pittsburgh-Greensburg),14,407
            University of Pittsburgh at Johnstown (Pittsburgh-Johnstown),14,407
            University of Pittsburgh at Titusville (Pittsburgh-Titusville),14,407
Puerto Rico,14,407
    University of Puerto Rico system,14,407
        University of Puerto Rico at Rio Piedras (UPR-RP) (Rio Piedras-flagship/main campus),14,407
        University of Puerto Rico at Aguadilla (UPRAG),14,407
        University of Puerto Rico at Arecibo (UPRA),14,407
        University of Puerto Rico at Bayamón (UPRB),14,407
        University of Puerto Rico at Carolina (UPRC),14,407
        University of Puerto Rico at Cayey (UPR-Cayey),14,407
        University of Puerto Rico at Humacao (UPRH),14,407
        University of Puerto Rico at Mayagüez (UPRM),14,407
        University of Puerto Rico at Ponce (UPRP),14,407
        University of Puerto Rico at Utuado (UPRU),14,407
"        University of Puerto Rico, Medical Sciences Campus (UPR-CM)",14,407
    School of Plastic Arts of Puerto Rico,14,407
    Conservatory of Music of Puerto Rico,14,407
Rhode Island,14,407
    Rhode Island College (RIC),14,407
    University of Rhode Island system,14,407
        University of Rhode Island (Rhode Island or URI) (Kingston-flagship/main campus),14,407
        URI Feinstein Campus in Providence,14,407
        URI Narragansett Bay Campus in Narragansett,14,407
        URI W. Alton Jones Campus in West Greenwich,14,407
South Carolina,14,407
    The Citadel,14,407
    Clemson University,14,407
    Coastal Carolina University (Coastal Carolina or CCU),14,407
    College of Charleston (Charleston or CofC),14,407
    Francis Marion University,14,407
    Lander University,14,407
    Medical University of South Carolina,14,407
    University of South Carolina System,14,407
"        University of South Carolina (Carolina, USC, or SCar) (Columbia-flagship/main campus)",14,407
        University of South Carolina Aiken (USC-Aiken),14,407
        University of South Carolina Beaufort (USC-Beaufort),14,407
        University of South Carolina Lancaster (USC-Lancaster),14,407
        University of South Carolina Salkehatchie (USC-Salkehatchie),14,407
        University of South Carolina Sumter (USC-Sumter),14,407
        University of South Carolina Union (USC-Union),14,407
        University of South Carolina Upstate (USC-Upstate or Upstate),14,407
    South Carolina State University (SCSU),14,407
    Winthrop University (WU),14,407
South Dakota,14,407
    Black Hills State University,14,407
    Dakota State University,14,407
    Northern State University,14,407
    University of South Dakota (South Dakota or USD),14,407
    South Dakota School of Mines & Technology ,14,407
    South Dakota State University (South Dakota State),14,407
Tennessee,14,407
    Tennessee Board of Regents ,14,407
        University of Memphis (U of M) (Memphis-flagship/main campus),14,407
        Austin Peay State University (Austin Peay or APSU),14,407
        East Tennessee State University (ETSU),14,407
        Middle Tennessee State University (MTSU),14,407
        Tennessee State University (TSU),14,407
        Tennessee Technological University (Tennessee Tech or TTU),14,407
    University of Tennessee System campuses.),14,407
"        University of Tennessee at Knoxville (UT Knoxville, UTK, or UT) (Knoxville-flagship/main campus)",14,407
        University of Tennessee at Chattanooga (UT Chattanooga or UTC),14,407
        University of Tennessee at Martin (UT Martin),14,407
            University of Tennessee Health Science Center (UTHSC or UT Medical School) (Memphis),14,407
            University of Tennessee Space Institute (UT Space Institute) (Tullahoma),14,407
Texas,14,407
    University of Houston System,14,407
        University of Houston,14,407
        University of Houston–Clear Lake,14,407
        University of Houston–Downtown,14,407
        University of Houston–Victoria,14,407
    Midwestern State University,14,407
    University of North Texas System,14,407
        University of North Texas,14,407
        University of North Texas at Dallas,14,407
    Stephen F. Austin State University,14,407
    The University of Texas System,14,407
